ind1,ind2,SRI.observed,year,dyad
ind26,ind62,0.117520216,2011,ind26_ind62
ind27,ind62,0.122977346,2011,ind27_ind62
ind28,ind62,0.120280475,2011,ind28_ind62
ind29,ind62,0.103575184,2011,ind29_ind62
ind30,ind62,0.010647737,2011,ind30_ind62
ind31,ind62,0.105194805,2011,ind31_ind62
ind32,ind62,0,2011,ind32_ind62
ind33,ind62,0.003795066,2011,ind33_ind62
ind34,ind62,0.078212291,2011,ind34_ind62
ind35,ind62,0.011267606,2011,ind35_ind62
ind36,ind62,0.061946903,2011,ind36_ind62
ind37,ind62,0.127737226,2011,ind37_ind62
ind38,ind62,0.080116959,2011,ind38_ind62
ind39,ind62,0.02403496,2011,ind39_ind62
ind40,ind62,0.126187962,2011,ind40_ind62
ind41,ind62,0.027591973,2011,ind41_ind62
ind42,ind62,0.098302687,2011,ind42_ind62
ind43,ind62,0.102692549,2011,ind43_ind62
ind44,ind62,0.086426593,2011,ind44_ind62
ind45,ind62,0.093446602,2011,ind45_ind62
ind46,ind62,0.035278155,2011,ind46_ind62
ind47,ind62,0.032258065,2011,ind47_ind62
ind48,ind62,0.03749192,2011,ind48_ind62
ind49,ind62,0,2011,ind49_ind62
ind50,ind62,0.114922813,2011,ind50_ind62
ind51,ind62,0.017010936,2011,ind51_ind62
ind52,ind62,0.084821429,2011,ind52_ind62
ind53,ind62,0.089323467,2011,ind53_ind62
ind54,ind62,0.112458655,2011,ind54_ind62
ind55,ind62,0.013863216,2011,ind55_ind62
ind56,ind62,0.007361963,2011,ind56_ind62
ind57,ind62,0.013640239,2011,ind57_ind62
ind58,ind62,0,2011,ind58_ind62
ind59,ind62,0,2011,ind59_ind62
ind60,ind62,0.018882175,2011,ind60_ind62
ind61,ind62,0.04265873,2011,ind61_ind62
ind63,ind62,0.089683774,2011,ind62_ind63
ind64,ind62,0.035639413,2011,ind62_ind64
ind65,ind62,0.114683816,2011,ind62_ind65
ind66,ind62,0.052932761,2011,ind62_ind66
ind67,ind62,0.004065041,2011,ind62_ind67
ind68,ind62,0.007075472,2011,ind62_ind68
ind69,ind62,0.121495327,2011,ind62_ind69
ind70,ind62,0.097560976,2011,ind62_ind70
ind71,ind62,0.035175879,2011,ind62_ind71
ind72,ind62,0.075980392,2011,ind62_ind72
ind73,ind62,0.10989011,2011,ind62_ind73
ind74,ind62,0.011363636,2011,ind62_ind74
ind75,ind62,0,2011,ind62_ind75
ind76,ind62,0.005830904,2011,ind62_ind76
ind77,ind62,0.044222539,2011,ind62_ind77
ind78,ind62,0.115162037,2011,ind62_ind78
ind79,ind62,0.009533898,2011,ind62_ind79
ind80,ind62,0.007334963,2011,ind62_ind80
ind81,ind62,0.014834206,2011,ind62_ind81
ind82,ind62,0.007092199,2011,ind62_ind82
ind83,ind62,0.002932551,2011,ind62_ind83
ind84,ind62,0,2011,ind62_ind84
ind85,ind62,0.093681917,2011,ind62_ind85
ind86,ind62,0.006313131,2011,ind62_ind86
ind87,ind62,0.008905852,2011,ind62_ind87
ind88,ind62,0.113196815,2011,ind62_ind88
ind89,ind62,0.039591315,2011,ind62_ind89
ind90,ind62,0.009188361,2011,ind62_ind90
ind91,ind62,0.040441176,2011,ind62_ind91
ind92,ind62,0.011684518,2011,ind62_ind92
ind93,ind62,0.00311042,2011,ind62_ind93
ind94,ind62,0.008955224,2011,ind62_ind94
ind95,ind62,0.005141388,2011,ind62_ind95
ind96,ind62,0.004552352,2011,ind62_ind96
ind97,ind62,0.006141249,2011,ind62_ind97
ind98,ind62,0.015037594,2011,ind62_ind98
ind99,ind62,0.02685624,2011,ind62_ind99
ind100,ind62,0.003618818,2011,ind100_ind62
ind101,ind62,0,2011,ind101_ind62
ind102,ind62,0,2011,ind102_ind62
ind103,ind62,0.001234568,2011,ind103_ind62
ind1,ind71,0.091538052,2011,ind1_ind71
ind2,ind71,0,2011,ind2_ind71
ind3,ind71,0,2011,ind3_ind71
ind4,ind71,0.056899004,2011,ind4_ind71
ind5,ind71,0.023002421,2011,ind5_ind71
ind6,ind71,0,2011,ind6_ind71
ind7,ind71,0.007383101,2011,ind7_ind71
ind8,ind71,0.040787623,2011,ind71_ind8
ind9,ind71,0.15785381,2011,ind71_ind9
ind10,ind71,0.194552529,2011,ind10_ind71
ind11,ind71,0.002242152,2011,ind11_ind71
ind12,ind71,0.21319797,2011,ind12_ind71
ind13,ind71,0.134099617,2011,ind13_ind71
ind14,ind71,0.107549858,2011,ind14_ind71
ind15,ind71,0,2011,ind15_ind71
ind16,ind71,0.18922853,2011,ind16_ind71
ind17,ind71,0.087529976,2011,ind17_ind71
ind18,ind71,0.092297899,2011,ind18_ind71
ind19,ind71,0.102857143,2011,ind19_ind71
ind20,ind71,0.031770045,2011,ind20_ind71
