Year,Dyad,SRI observed,SRI expected,Home range overlap
2017,Ind15_Ind14,0.33869239,0.063657913,0.902464627
2017,Ind15_Ind22,0.210671573,0.113059988,0.882342085
2017,Ind15_Ind12,0.316568047,0.065535098,0.891841126
2017,Ind1_Ind34,0.027255929,0.187644501,0.620083353
2017,Ind34_Ind5,0.027274212,0.06738669,0.625811502
2017,Ind6_Ind34,0.024858064,0.069030571,0.618536597
2017,Ind34_Ind3,0.030958722,0.213804827,0.610330543
2017,Ind34_Ind9,0.028504945,0.224975437,0.62724672
2017,Ind34_Ind7,0.029909417,0.222502165,0.62771424
2017,Ind2_Ind34,0.024248894,0.069097502,0.613272394
2017,Ind34_Ind4,0.026110546,0.221264536,0.61013911
2017,Ind8_Ind34,0.032165146,0.197763336,0.629646929
2017,Ind34_Ind10,0.122213376,0.192978939,0.842477587
2017,Ind34_Ind19,0.080808081,0.206811018,0.782284023
2017,Ind34_Ind14,0.101537028,0.073455422,0.878412672
2017,Ind34_Ind22,0.158166363,0.137129444,0.922566873
2017,Ind34_Ind12,0.1200883,0.076046174,0.855789745
2017,Ind15_Ind34,0.103011785,0.16077362,0.886994583
2017,Ind1_Ind20,0.017981073,0.148393265,0.487820588
2017,Ind20_Ind5,0.018788794,0.047347051,0.495920281
2017,Ind6_Ind20,0.016677155,0.048520238,0.487629894
2017,Ind3_Ind20,0.023984924,0.16428713,0.480325988
2017,Ind20_Ind9,0.017196561,0.155274387,0.48415176
2017,Ind20_Ind7,0.020196698,0.151828505,0.497315252
2017,Ind2_Ind20,0.021534109,0.047999088,0.490003714
2017,Ind20_Ind4,0.019570156,0.154397475,0.476645734
2017,Ind8_Ind20,0.023821464,0.158089643,0.500700448
2017,Ind10_Ind20,0.292598112,0.15026548,0.874441035
2017,Ind19_Ind20,0.31765613,0.146532514,0.886318014
2017,Ind20_Ind14,0.286227545,0.054930645,0.784956043
2017,Ind20_Ind22,0.13215859,0.110075917,0.825469067
2017,Ind20_Ind12,0.244635193,0.053408716,0.849019585
2017,Ind15_Ind20,0.288343558,0.126016078,0.822533337
2017,Ind34_Ind20,0.096173212,0.159311612,0.776651643
2017,Ind1_Ind24,0.026544569,0.132740766,0.57867276
2017,Ind24_Ind5,0.027895694,0.032702293,0.58665583
2017,Ind6_Ind24,0.025332562,0.033563884,0.57938885
2017,Ind24_Ind3,0.032914201,0.145238086,0.567178838
2017,Ind24_Ind9,0.024767378,0.121339823,0.586068059
2017,Ind24_Ind7,0.028560691,0.117695075,0.58778794
2017,Ind24_Ind2,0.027473162,0.033058855,0.577452176
2017,Ind24_Ind4,0.02821121,0.121801713,0.568362271
2017,Ind24_Ind8,0.031493558,0.146241712,0.589571339
2017,Ind24_Ind10,0.211035818,0.133384044,0.845481911
2017,Ind24_Ind19,0.102144772,0.116830271,0.7677956
2017,Ind24_Ind14,0.152190428,0.041878327,0.905289824
2017,Ind24_Ind22,0.461632156,0.096993913,0.934408927
2017,Ind24_Ind12,0.197565306,0.038088489,0.8474539
2017,Ind15_Ind24,0.190500253,0.107724783,0.880485285
2017,Ind24_Ind34,0.15572943,0.138695425,0.919058895
2017,Ind24_Ind20,0.111054508,0.121256194,0.794881175
2017,Ind1_Ind25,0.038646789,0.134265597,0.574792605
2017,Ind25_Ind5,0.040537299,0.04747285,0.583019969
2017,Ind6_Ind25,0.035408338,0.048317734,0.575368157
2017,Ind25_Ind3,0.045066991,0.147408842,0.562895537
2017,Ind25_Ind9,0.03485399,0.134718784,0.582646766
2017,Ind25_Ind7,0.040573973,0.131951023,0.584204227
2017,Ind25_Ind2,0.037383178,0.047859487,0.573316805
2017,Ind25_Ind4,0.034829532,0.134448738,0.564254845
2017,Ind25_Ind8,0.042082294,0.143861599,0.586262428
2017,Ind25_Ind10,0.212438854,0.134807817,0.837374525
2017,Ind25_Ind19,0.098039216,0.128336271,0.767751216
